-36; 1784; 18248; -3760; 329; -127; -353; 
-248; 1612; 18272; -3792; 392; 80; -283; 
-172; 1612; 18344; -3776; 362; 33; -306; 
-72; 1584; 18340; -3776; 332; -41; -322; 
-60; 1660; 18312; -3792; 353; -48; -283; 
-148; 1688; 18460; -3760; 331; -35; -329; 
-180; 1616; 18308; -3792; 342; -25; -314; 
-192; 1600; 18468; -3776; 340; -11; -289; 
-72; 1664; 18248; -3792; 332; -18; -310; 
-116; 1588; 18416; -3776; 346; 5; -295; 
-384; 1352; 18268; -3760; 346; -38; -297; 
-56; 1624; 18528; -3792; 312; -10; -312; 
-120; 1588; 18180; -3776; 338; -29; -326; 
-88; 1632; 18264; -3792; 344; -14; -330; 
-68; 1580; 18312; -3776; 323; -40; -306; 
-172; 1608; 18480; -3792; 352; -21; -310; 
-68; 1620; 18232; -3776; 332; -30; -320; 
-44; 1600; 18388; -3792; 338; 248; -323; 
16; 1616; 18284; -3808; 345; -18; -311; 
-172; 1564; 18316; -3808; 339; -12; -326; 
-88; 1568; 18648; -3792; 307; -54; -301; 
-168; 1692; 18352; -3744; 368; 254; -309; 
-148; 1648; 18252; -3808; 348; -32; -321; 
-88; 1576; 18344; -3792; 351; 1; -306; 
-56; 1528; 18340; -3776; 323; -48; -312; 
-172; 1588; 18340; -3776; 330; -26; -312; 
-28; 1624; 18280; -3792; 353; -46; -317; 
-124; 1628; 18380; -3824; 348; -18; -318; 
-100; 1692; 18404; -3776; 339; -21; -302; 
-184; 1600; 18224; -3792; 343; -14; -301; 
-168; 1720; 18364; -3776; 336; -32; -313; 
-36; 1692; 18448; -3776; 337; -18; -335; 
-152; 1696; 18356; -3792; 361; -17; -320; 
-140; 1592; 18276; -3776; 354; -20; -313; 
-144; 1488; 18468; -3824; 296; -44; -286; 
-156; 1556; 18180; -3760; 326; -24; -289; 
-156; 1684; 18308; -3776; 296; -75; -298; 
-132; 1580; 18436; -3776; 352; 253; -288; 
-144; 1688; 18288; -3792; 350; -24; -334; 
-4; 1524; 18324; -3808; 338; -28; -317; 
-164; 1636; 18316; -3760; 349; -12; -297; 
-60; 1576; 18392; -3808; 287; -54; -279; 
-12; 1600; 18312; -3776; 357; -26; -291; 
-76; 1584; 18252; -3760; 353; -23; -310; 
-220; 1336; 18184; -3776; 323; -19; -297; 
-48; 1776; 18668; -3792; 346; -20; -305; 
-88; 1284; 18440; -3776; 357; -17; -330; 
-148; 1560; 18136; -3792; 337; -36; -324; 
-80; 1632; 18332; -3776; 333; -28; -333; 
-108; 1552; 18420; -3808; 344; -25; -325; 
-72; 1556; 18316; -3776; 340; -13; -299; 
-184; 1564; 18352; -3792; 353; -23; -294; 
-36; 1588; 18400; -3808; 355; 1; -305; 
-92; 1640; 18372; -3808; 320; -34; -318; 
-88; 1760; 18156; -3808; 340; -9; -308; 
-96; 1628; 18328; -3840; 354; -28; -335; 
-140; 1300; 18372; -3776; 305; -54; -300; 
-188; 1664; 18264; -3792; 340; -27; -308; 
-108; 1628; 18400; -3776; 300; -16; -304; 
-84; 1656; 18364; -3760; 350; -8; -322; 
-108; 1724; 18400; -3776; 374; -18; -292; 
0; 1576; 18408; -3792; 330; -30; -307; 
1504; -20; 19184; -3792; 5387; -2057; -12688; 
196; 2536; 17748; -3808; 2585; 74; -2583; 
280; 1912; 18296; -3792; -666; -229; 634; 
156; 1988; 18288; -3776; 934; 25; -932; 
252; 1880; 18188; -3808; 219; -118; -189; 
168; 1580; 18596; -3808; 714; -187; -407; 
264; 1964; 18280; -3792; 408; -48; -328; 
232; 1956; 18332; -3808; 389; -42; -401; 
176; 2044; 18368; -3808; 366; -39; -354; 
224; 1940; 18284; -3792; 393; -23; -350; 
480; 1860; 18420; -3840; 353; -58; -366; 
300; 1872; 18228; -3792; 345; -13; -355; 
248; 1732; 18768; -3808; -1267; -250; 1048; 
144; 1524; 18468; -3776; -524; -402; 1745; 
36; 972; 18576; -3824; -251; -848; 1723; 
788; 1992; 18948; -3776; 1246; -2319; 2629; 
2056; 1592; 18304; -3824; 392; -7651; 1797; 
3232; 2072; 18036; -3776; 983; -5137; 337; 
4524; 2040; 18100; -3792; -894; -5875; 1621; 
5912; 1900; 17768; -3808; -858; -6903; 919; 
